0,1,2,3,4,5,6,7,8,9
0.9548581,-1.7556212,0.20696725,1.6976925,2.3810506,0.014757392,-0.1393938,0.57293016,2.0377803,-0.9752557
3.082158,-0.87236226,-1.1214947,0.6951788,-0.05138841,0.23477262,-0.3090235,0.0014933588,0.2464771,0.52940714
2.2987478,-0.77181476,-1.4842995,0.9218305,-0.04376266,0.577127,0.10237101,0.6783629,1.1639326,-1.000728
3.8304527,-0.031838562,-1.308001,-2.1016293,-0.48451877,-0.09532962,0.20670123,-0.8082787,-0.21036223,0.079621226
2.2488692,0.23133169,-1.6377243,-1.6851512,-0.17561856,-0.3634402,0.8778401,-0.2014829,-0.47635132,0.036896814
3.2918315,-0.10070644,-1.8414212,-1.8570905,-0.10261501,-0.4756198,0.3597344,-0.0007309997,-0.6675226,0.20083295
1.1949247,-0.4623538,-1.0079426,-0.31188488,1.1015364,-0.4819217,0.6880541,0.011445897,0.827687,-0.5033541
1.0334185,3.4090686,0.9418377,0.056089915,0.47120532,0.17036305,0.24144572,-0.0029918097,0.68724775,-0.6965591
3.9073946,-0.71168387,-1.8569589,-0.7782659,-0.41363403,0.033683382,-0.9006569,0.06577864,-0.052639153,-0.34381264
1.2873503,-0.5653487,-0.14600882,1.4148576,0.98528266,0.10825291,0.019683128,0.2879986,0.35623494,-0.5857124
3.5279505,-0.71892136,-0.39133334,-0.45249176,-0.3756012,-0.18852249,-0.5736953,0.38017124,-0.38928846,0.5167273
-0.28937998,-1.2979972,0.67674685,2.19898,0.70315987,-0.33655718,0.8397944,0.28975308,-1.0402282,-0.015226747
1.1024948,-0.8253997,-0.96585125,1.7933735,1.9861745,0.6746897,0.15770632,1.1421777,0.8731399,-0.22882517
3.0585513,-0.68578583,-1.2382873,0.6885071,0.6016029,0.03830738,-0.4329685,0.6445465,-0.21628828,-0.07758848
3.0574965,-0.8287147,-0.9194631,-0.4831855,0.36175922,-0.16425012,-0.3972676,0.124391586,0.116417535,-0.48719183
-0.1902283,-0.88924134,-1.5990756,1.0735384,2.1617973,0.59154284,0.017647438,0.69749665,0.4792994,-0.24388492
3.8131735,-0.55782634,-0.7740017,-0.40698344,-0.12430012,-0.4720657,-0.27859902,0.20115018,-0.5365601,0.30567235
3.425184,-1.1670499,-1.6970385,0.9511486,1.1321441,0.31762135,-1.1202606,1.0219932,-0.0025150569,0.2301129
1.1442358,2.4820106,-0.22045042,-0.18573363,0.24817207,0.32696328,0.39206824,-0.15561493,0.37281865,-0.7824556
0.7204135,2.4979649,-0.9237202,0.3662826,0.20091565,0.45362195,0.3374027,-0.38758367,0.22618371,-0.5524237
0.1599154,3.6752217,0.8377841,0.010815262,0.61887026,1.2174703,0.08723925,-0.31229785,-0.15934902,-0.379986
-1.8724694,1.56896,-2.1024058,0.313395,0.54927504,0.6880365,0.649762,0.039355576,0.7746235,0.2670244
3.1178079,-0.94818246,-0.7561951,0.4965057,0.5118819,0.37533048,-0.6191106,0.15217754,0.44491926,-0.4809834
3.0534606,-0.2847134,-0.48799852,-1.4244065,-0.44494244,0.38251114,-0.98712116,0.3863944,0.54616827,0.58043003
3.3058825,-0.82845867,-1.2750548,0.57020164,0.14673603,0.4360369,-0.59680283,0.29834968,-0.0915907,-0.35733375
1.2338325,-1.5949081,-0.16389163,2.1019173,1.7418532,0.68303686,0.5495929,0.75756425,0.12858625,0.06419984
3.4738398,-0.07017669,-1.7481136,-1.2800415,0.42524844,-0.30691084,0.17098606,-0.0008503491,-0.34989807,-0.39823574
1.1477298,-1.5573438,-0.33238113,2.6297824,1.4836813,0.6689832,-0.028953092,1.2217106,0.16353469,-0.5238966
-0.68503124,2.8026943,-0.13963416,0.7301577,1.2826188,-0.09194381,-0.16434608,-0.07120555,-0.6928323,-0.072988056
0.090439424,3.2187502,1.6360188,0.4983915,-0.5954697,-0.83572906,-0.47078866,-0.10183683,-0.20971864,0.29251325
-0.70872056,2.1524172,-0.2949088,0.72247154,-1.1906501,-1.2429949,0.27598825,0.4695733,-0.18093151,0.09268453
3.6513298,-0.4481676,-1.0327662,-1.6835076,0.23312792,-0.3676731,-0.43266213,-0.29073206,-0.28289255,0.28133678
1.2761091,-0.7519729,-1.4077216,1.3399478,0.42178437,0.5335075,-0.5312327,0.4878679,0.35334042,0.67089176
3.3115304,-0.2525222,-1.9833232,-1.934039,-0.25796735,-0.53989714,0.038440894,0.15072364,-0.64684546,-0.05166312
1.9921305,-1.1045961,-1.63532,0.6003179,0.87755793,-0.28783372,0.23768929,0.43699992,0.9535173,-1.0936995
2.8998296,-0.91382635,-1.5207323,1.009957,0.40788028,0.10328234,-0.8251006,0.26864532,0.6589553,-0.1385332
2.2314754,-0.90398914,-1.318706,0.9820881,0.790931,0.74577653,-0.25062674,0.4931482,1.5690342,-1.2601912
3.5144684,-1.2804366,-0.9947548,0.9505638,0.40998465,-0.14417955,-0.6665827,0.6379092,-0.22824813,0.2145426
1.1940105,-0.2718818,-0.8617398,-1.8453339,0.04272951,0.24838817,1.4643279,0.16535942,-0.73262084,0.97189695
3.8362186,-1.1619848,-0.2514406,-1.1233335,-0.3030899,-0.1960545,-1.4763016,-0.30995673,-0.530842,0.6683895
2.9353096,-1.19259,-2.3102355,0.26928765,0.30038014,-0.1772023,0.36868015,0.6451327,0.56499535,-0.5411722
1.2141871,-0.97986764,-1.6444745,1.0555329,-0.81719506,0.49379987,-0.44244713,-0.45518494,1.1180729,-0.26088175
2.347666,-1.8437796,-0.30619323,2.303054,1.131657,0.37399313,-0.18727502,0.58078545,0.97049457,-0.4509915
3.8446782,-1.098105,-2.0027924,0.7611927,-0.01909742,0.00578589,-0.7399313,0.14495765,0.016460754,0.35418618
3.3775105,-0.37796405,-0.15113604,-1.0642159,0.18172526,-0.06836296,0.011166814,0.07941736,-0.33500677,-0.031413693
4.1447754,-0.9205701,-2.7069285,-0.3670811,0.014636678,-1.0491836,-0.64758384,0.45669132,0.11183953,-0.49414942
0.27866814,3.0348818,1.5995789,0.3156796,-0.38257086,-0.68273985,-0.26389176,0.16465268,0.098321445,0.24616201
3.3299193,-0.55430347,-1.2212487,0.15343933,-0.8620839,0.2024055,-0.54179186,-0.16491896,-0.29755306,0.017367538
-1.2491913,-0.9755827,-0.52038723,3.320121,2.552909,2.0329773,0.23497638,2.0046659,1.4007419,-0.9990518
3.6151268,-0.7144134,-2.1155303,0.2881464,0.21714683,0.3389903,-0.7445933,0.34938538,0.1773637,0.2211753
2.8905,-1.0362769,-0.52369773,1.5841962,0.30448234,0.5839199,-0.4002099,0.41970965,1.0129234,-0.77589613
3.470565,-0.8202217,-1.9357315,0.6051255,-0.49521643,0.551969,-0.20868357,0.0850143,-0.3489269,0.31037554
-0.04068322,3.5410385,0.094325036,0.20519711,0.3101691,0.14996162,-0.31228513,-0.57073236,-0.28385627,-0.051021855
-0.005201183,2.7381783,-0.5068165,0.1615021,0.25642762,0.49167264,-0.025623959,-0.30891553,0.4113053,-0.6406498
-0.36548293,2.910931,-1.1309714,0.24166055,1.1829176,0.70058954,-0.44912097,-0.21341106,0.002127821,0.022603199
2.9421763,-1.0101045,-3.1913056,-0.77972144,-0.37585154,-1.5333884,0.12297977,-0.5204974,0.2648734,-0.42851692
0.7454426,-0.5003485,-0.8175229,1.9042922,1.5282985,1.6035789,-0.32984358,0.5765275,0.93198967,0.0117595615
2.7512,-0.08702546,-2.0418906,-1.3281152,0.12951033,-0.08547699,0.40709502,-0.3572035,-0.372738,-0.19322042
0.21611671,-1.4985611,0.6728622,2.6687052,1.8001755,0.73072094,-0.18669051,0.85412985,1.5347167,-0.5686289
0.18688215,-1.7808701,0.05209115,0.6496045,1.2841053,-1.0908978,-0.5149205,-0.60338575,1.2123733,-0.62096286
2.92652,-0.7342158,-1.191783,0.60017705,-0.64313805,0.19558527,-0.17223696,0.36126703,-0.19313443,-0.32249758
-0.19885866,3.29785,0.99289143,0.096958786,-0.23828717,-0.039096802,-0.39871505,-0.25781763,-0.44469336,0.09838139
-0.020176673,2.8065517,1.3772238,0.76154274,-0.37955147,-0.27927992,-0.32152492,-0.38771993,0.546688,-0.3835126
0.24560237,3.2095006,0.5498293,-0.05466239,0.23635145,0.51767987,0.025301045,-0.4273039,0.010948912,-0.020051416
-0.46053818,3.1579628,0.6870419,0.617719,-0.7968451,-0.5402631,0.06623288,0.10427648,0.29869884,0.6470789
-1.3344316,2.641821,0.032954186,0.5442265,-0.58133763,-0.17814845,-0.14653419,0.13229096,-0.18242453,0.5501098
2.7280545,-0.46296525,-1.5828736,0.50571233,-0.024173424,0.7148467,-0.7276463,0.08237974,0.40222105,-0.6375559
1.5419366,-1.4738904,0.5179633,2.0702593,1.2208474,0.97881556,-0.23226851,1.1939114,0.6984006,-1.3098315
3.3801305,-0.26778907,-2.3939736,-1.9382128,-0.33708963,-0.3817301,-0.07216113,-0.3937393,-0.17198096,-0.2017787
4.210407,-0.27671075,-1.3952233,-0.76983327,0.30357343,-0.036150355,-0.4043327,0.5539218,-0.26719788,-0.27309194
1.7920026,-0.9260328,0.06698846,0.8678213,1.4681345,-0.060011234,-0.4895848,-0.041081715,1.2093291,-1.2117281
3.929609,-0.88060814,0.10656774,-1.2266814,-0.072904445,-1.1771339,-1.4725494,-0.030363303,-0.21772525,-0.37375522
3.9225278,-0.9314883,0.22837475,0.34667456,0.84928966,-0.2596227,-0.85762477,0.96908474,0.14589222,-0.023871183
4.041326,-0.99118763,-1.9507824,-0.24926046,-0.010983707,-0.47816142,-0.87577486,0.68887305,0.0984623,0.061566636
0.9460255,-1.6191375,0.4180933,2.2959194,0.58950305,-0.2747685,-0.15108578,-0.5893304,0.767988,-0.74876004
3.1408257,-0.652971,-2.2553327,-1.5144695,-0.4049034,-0.68165684,-0.29566583,-0.90805227,0.4014142,-0.29730502
1.1828856,-0.97981435,-1.0082117,2.0196743,1.6451935,1.271728,0.12349481,1.6534505,0.6218663,-0.37663573
0.66870797,-0.75901794,-1.1267188,2.162005,0.84491384,0.5926632,-0.25283495,0.10869679,0.8749244,-0.74600846
3.6335669,-1.0049824,-0.08332203,-0.70463145,0.8908854,-0.46736312,-0.027593412,-0.28958714,-0.8888818,1.0188898
4.2928605,-0.0916523,-0.8774585,-1.5026741,-0.7367675,-0.21190815,-1.0919553,-0.5580762,-0.6820464,0.35158253
3.1500757,-0.9147429,-1.4254642,1.1709834,0.23129512,0.84797364,-1.2532698,0.053271018,0.42329887,-0.30939955
4.0923505,-0.9378053,-2.1628096,-0.16474544,-0.6149733,0.2091849,-0.936725,0.46085978,0.30742776,-0.032621752
2.0003862,-0.48212838,-1.5226555,-1.1338463,1.1494442,-0.34890231,0.9222126,-0.07055746,-0.12631705,0.30149058
